xMercuryAtSun,yMercuryAtSun,xVenusAtSun,yVenusAtSun,xEarthAtSun,yEarthAtSun,xMarsAtSun,yMarsAtSun,xMoonAtEarth,yMoonAtEarth,xPhobosAtMars,yPhobosAtMars,xDeimosAtMars,yDeimosAtMars
33964764,-54936059,99255201,-44286287,124372398,-86390614,60065280,-204402519,89562,365162,-8340,-221,20908,2630
36640593,-52418364,100432867,-41519265,125782068,-84274279,62149133,-203621343,-530,370233,-5562,-7229,6921,-21735
39180541,-49706392,101533416,-38720364,127155834,-82133625,64226613,-202819285,-90697,353654,946,-9428,-17293,-13998
41570652,-46804450,102555986,-35891725,128493215,-79969250,66297493,-201996382,-175450,315501,6836,-5430,-15978,14417
43796526,-43717714,103499768,-33035513,129793740,-77781778,68361545,-201152677,-249237,257423,8176,2152,8919,21543
45843319,-40452346,104364015,-30153916,131056955,-75571862,70418543,-200288214,-307005,182716,3932,8230,20643,-3142
47695765,-37015618,105148041,-27249142,132282427,-73340177,72468259,-199403039,-344808,96124,-3064,8495,1853,-23184
49338213,-33416053,105851217,-24323416,133469754,-71087417,74510467,-198497204,-360297,3368,-7883,2711,-19674,-8980
50754678,-29663577,106472977,-21378983,134618563,-68814289,76544939,-197570760,-352929,-89502,-7199,-4997,-12164,18489
51928923,-25769687,107012815,-18418101,135728516,-66521500,78571449,-196623764,-323884,-176756,-1630,-9352,13302,18654
52844564,-21747627,107470288,-15443044,136799301,-64209754,80589769,-195656273,-275740,-253464,5026,-7539,19116,-8725
53485224,-17612571,107845015,-12456097,137830626,-61879748,82599673,-194668350,-212040,-315775,8363,-768,-3323,-23216
53834717,-13381814,108136675,-9459557,138822218,-59532173,84600935,-193660057,-136885,-360998,6060,6490,-20855,-3409
53877288,-9074957,108345013,-6455730,139773818,-57167710,86593329,-192631463,-54601,-387548,-444,9203,-7610,21432
53597915,-4714076,108469836,-3446927,140685177,-54787034,88576627,-191582637,30503,-394842,-6624,5372,16872,14627
52982667,-323870,108511014,-435466,141556053,-52390816,90550606,-190513652,114296,-383168,-8134,-2273,16420,-13779
